Nombre,Direccion,Localidad,Pais,Latitud,Longitud,OK
A AGRARIA COMERCIAL AGRICOLA,"C/CARRETERA DE LA ESTACIÓN, 25",CAMBRE,ESPAÑA,43.2926146,-8.3422786,SI
A AGRORURAL,"AV.DA ESTRADA REAL, 32",MILHARADO,PORTUGAL,38.93613209999999,-9.2003874,SI
A AVENDOA AGROTENDA (ANTES COM. SALORIO),"RUA INMACULADA, 22-24",PONTEDEUME (SANTIAGO),ESPAÑA,43.4075925,-8.170956799999999,SI
A CAMPIÑA DE LEMOS,"RUA PAZ NOVOA, S/N",MONFORTE,ESPAÑA,42.5240711,-7.5350734,SI
A CASA DA PINTORA,SUBIDA DOS MUIÑOS DO PICÓN S/N,O ROSAL,ESPAÑA,41.9565693,-8.8374083,SI
A CASA DA TORRE (AGRO ULLA),"TORRE, 55",CAMPAÑA VALGA,ESPAÑA,42.70237909999999,-8.663534,SI
A CASA DAS FLORES,"QUINTANS, 17",QUINTANS (ISORNA),ESPAÑA,42.6678333,-8.743684,SI
A CHORIMA,"C/. ORZAN, Nº6 BAJO",CORUÑA (A),ESPAÑA,43.3637626,-8.4103923,SI
A DELICIOSA CARNICERIA,"C/REDONDELA, Nº 10 - BAJO",PONTEAREAS,ESPAÑA,42.17052,-8.5023,SI
A FLORERIA,"JUAN VALVERDE, 3 - BAJO",SABARIS - BAYONA,ESPAÑA,42.1110317,-8.819543999999999,SI
A FLORERIA DE MARGARIDA,"C/. EMILIO PARDO BAZAN, 47",ALLARIZ,ESPAÑA,42.18946649999999,-7.800552199999999,SI
A GROWTA,"RUA SAUDE, 25",LUGO,ESPAÑA,43.0110159,-7.5703437,SI
A HORTA DE LINA,"PLAZA DE ABASTOS, 5",OURENSE,ESPAÑA,42.33541049999999,-7.8663202,SI
A HORTA DE MERCHE,"PLAZA DE ABASTOS DE GONDOMAR, PTO Nº3-4",GONDOMAR,ESPAÑA,42.1113297,-8.7632205,SI
A HORTA DE SANERO,"LUGAR DE VILAR, Nº36(AL LADO DEL MONASTERIO DE ARMENTEIRA)",ARMENTEIRA-MEIS,ESPAÑA,42.4633092,-8.741917899999999,SI
A LABRANZA (PONTEVEDRA),"JOAQUIN COSTA, 112",PONTEVEDRA,ESPAÑA,42.4267378,-8.6338928,SI
A LEIRA DE LOLA (GUILLERMO MARTÍN),"AVDA PABLO IGLESIAS, 56",NIGRAN,ESPAÑA,42.1637381,-8.8017402,SI
A LONXA DAS FLORES,"AVDA. FINISTERRE, 246",CORUÑA (A),ESPAÑA,43.3601269,-8.4179519,SI
A NOSA HORTA,"C/. MANUEL FERROL, 14 BAJO IZQ.",CARRAL (CARRAL),ESPAÑA,43.2268578,-8.3564658,SI
A NOSA PLANTA,CABANAS Nº29-A,SALCEDO,ESPAÑA,42.7347341,-2.9631835,SI
A RAXEIRA DO OUTEIRO,"AVDA. J.L. AZCARRAGA, Nº 24",AMES,ESPAÑA,42.8652092,-8.649020199999999,SI
A SEMENTEIRA (BETANZOS),RUA DOCTOR JOSE FARIÑA Nº6 BAJO,BETANZOS,ESPAÑA,43.2772617,-8.2114907,SI
A SEMENTEIRA (PORTO DO SON),"CARBALLOSA, S/N",PORTO DO SON,ESPAÑA,42.7242,-9.00349,SI
A TENDA DE ANA,"C/. LOURIDO, S/N",MEIRA,ESPAÑA,43.2139841,-7.2950106,SI
A TENDA DE DARIO,"O PENEDO, 45",ABEGONDO,ESPAÑA,43.2289164,-8.290689400000002,SI
A.MATO,"PLAZA DE ABASTOS, S/N",NOIA,ESPAÑA,42.78427569999999,-8.8882891,SI
