carrier;service;rate_type;zona;peso_min;peso_max;precio_base;vigencia_desde;vigencia_hasta
GLS;Business Parcel;band;1;0.00;1.00;3.86;2026-01-01;2026-12-31
GLS;Business Parcel;band;1;1.01;3.00;4.08;2026-01-01;2026-12-31
GLS;Business Parcel;band;1;3.01;5.00;4.22;2026-01-01;2026-12-31
GLS;Business Parcel;band;1;5.01;10.00;4.64;2026-01-01;2026-12-31
GLS;Business Parcel;band;1;10.01;15.00;5.08;2026-01-01;2026-12-31
GLS;Business Parcel;additional_kg;1;15.00;9999.00;0.20;2026-01-01;2026-12-31
GLS;Business Parcel;band;2;0.00;1.00;3.86;2026-01-01;2026-12-31
GLS;Business Parcel;band;2;1.01;3.00;4.08;2026-01-01;2026-12-31
GLS;Business Parcel;band;2;3.01;5.00;4.22;2026-01-01;2026-12-31
GLS;Business Parcel;band;2;5.01;10.00;4.64;2026-01-01;2026-12-31
GLS;Business Parcel;band;2;10.01;15.00;5.08;2026-01-01;2026-12-31
GLS;Business Parcel;additional_kg;2;15.00;9999.00;0.20;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;0.00;1.00;4.82;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;1.01;3.00;4.98;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;3.01;5.00;5.35;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;5.01;10.00;6.03;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;10.01;15.00;7.51;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;15.01;20.00;9.55;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;20.01;25.00;11.60;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;25.01;30.00;13.65;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;30.01;40.00;17.74;2026-01-01;2026-12-31
GLS;Business Parcel;band;3;40.01;50.00;21.83;2026-01-01;2026-12-31
GLS;Business Parcel;additional_kg;3;50.00;9999.00;0.41;2026-01-01;2026-12-31
GLS;Business Parcel;band;4;0.00;1.00;11.49;2026-01-01;2026-12-31
GLS;Business Parcel;additional_kg;4;1.00;9999.00;3.07;2026-01-01;2026-12-31
GLS;Business Parcel;band;5;0.00;1.00;14.81;2026-01-01;2026-12-31
GLS;Business Parcel;additional_kg;5;1.00;9999.00;3.83;2026-01-01;2026-12-31
GLS;Business Parcel;band;6;0.00;1.00;17.86;2026-01-01;2026-12-31
GLS;Business Parcel;additional_kg;6;1.00;9999.00;6.12;2026-01-01;2026-12-31
GLS;Business Parcel;band;7;0.00;1.00;22.67;2026-01-01;2026-12-31
GLS;Business Parcel;additional_kg;7;1.00;9999.00;6.49;2026-01-01;2026-12-31
GLS;Business Parcel;band;8;0.00;1.00;6.77;2026-01-01;2026-12-31
GLS;Business Parcel;band;8;1.01;3.00;6.93;2026-01-01;2026-12-31
GLS;Business Parcel;band;8;3.01;5.00;7.56;2026-01-01;2026-12-31
GLS;Business Parcel;band;8;5.01;10.00;8.58;2026-01-01;2026-12-31
GLS;Business Parcel;band;8;10.01;15.00;10.62;2026-01-01;2026-12-31
GLS;Business Parcel;additional_kg;8;15.00;9999.00;0.63;2026-01-01;2026-12-31
GLS;Express 10:30;band;1;0.00;1.00;7.05;2026-01-01;2026-12-31
GLS;Express 10:30;band;1;1.01;3.00;8.45;2026-01-01;2026-12-31
GLS;Express 10:30;band;1;3.01;5.00;9.86;2026-01-01;2026-12-31
GLS;Express 10:30;band;1;5.01;10.00;11.27;2026-01-01;2026-12-31
GLS;Express 10:30;band;1;10.01;15.00;14.07;2026-01-01;2026-12-31
GLS;Express 10:30;additional_kg;1;15.00;9999.00;0.70;2026-01-01;2026-12-31
GLS;Express 10:30;band;2;0.00;1.00;7.05;2026-01-01;2026-12-31
GLS;Express 10:30;band;2;1.01;3.00;8.45;2026-01-01;2026-12-31
GLS;Express 10:30;band;2;3.01;5.00;9.86;2026-01-01;2026-12-31
GLS;Express 10:30;band;2;5.01;10.00;11.27;2026-01-01;2026-12-31
GLS;Express 10:30;band;2;10.01;15.00;14.07;2026-01-01;2026-12-31
GLS;Express 10:30;additional_kg;2;15.00;9999.00;0.70;2026-01-01;2026-12-31
GLS;Express 10:30;band;3;0.00;1.00;11.27;2026-01-01;2026-12-31
GLS;Express 10:30;band;3;1.01;3.00;11.95;2026-01-01;2026-12-31
GLS;Express 10:30;band;3;3.01;5.00;13.36;2026-01-01;2026-12-31
GLS;Express 10:30;band;3;5.01;10.00;17.57;2026-01-01;2026-12-31
GLS;Express 10:30;band;3;10.01;15.00;26.04;2026-01-01;2026-12-31
GLS;Express 10:30;additional_kg;3;15.00;9999.00;0.85;2026-01-01;2026-12-31
GLS;Express 14:00;band;1;0.00;1.00;5.46;2026-01-01;2026-12-31
GLS;Express 14:00;band;1;1.01;3.00;5.57;2026-01-01;2026-12-31
GLS;Express 14:00;band;1;3.01;5.00;5.74;2026-01-01;2026-12-31
GLS;Express 14:00;band;1;5.01;10.00;6.02;2026-01-01;2026-12-31
GLS;Express 14:00;band;1;10.01;15.00;6.57;2026-01-01;2026-12-31
GLS;Express 14:00;additional_kg;1;15.00;9999.00;0.36;2026-01-01;2026-12-31
GLS;Express 14:00;band;2;0.00;1.00;5.46;2026-01-01;2026-12-31
GLS;Express 14:00;band;2;1.01;3.00;5.57;2026-01-01;2026-12-31
GLS;Express 14:00;band;2;3.01;5.00;5.74;2026-01-01;2026-12-31
GLS;Express 14:00;band;2;5.01;10.00;6.02;2026-01-01;2026-12-31
GLS;Express 14:00;band;2;10.01;15.00;6.57;2026-01-01;2026-12-31
GLS;Express 14:00;additional_kg;2;15.00;9999.00;0.36;2026-01-01;2026-12-31
GLS;Express 14:00;band;3;0.00;1.00;5.57;2026-01-01;2026-12-31
GLS;Express 14:00;band;3;1.01;3.00;5.87;2026-01-01;2026-12-31
GLS;Express 14:00;band;3;3.01;5.00;6.28;2026-01-01;2026-12-31
GLS;Express 14:00;band;3;5.01;10.00;6.94;2026-01-01;2026-12-31
GLS;Express 14:00;band;3;10.01;15.00;9.02;2026-01-01;2026-12-31
GLS;Express 14:00;additional_kg;3;15.00;9999.00;0.52;2026-01-01;2026-12-31
GLS;Express 14:00;band;4;0.00;1.00;13.53;2026-01-01;2026-12-31
GLS;Express 14:00;additional_kg;4;1.00;9999.00;3.57;2026-01-01;2026-12-31
GLS;Express 14:00;band;5;0.00;1.00;20.67;2026-01-01;2026-12-31
GLS;Express 14:00;additional_kg;5;1.00;9999.00;5.89;2026-01-01;2026-12-31
GLS;Express 14:00;band;6;0.00;1.00;20.67;2026-01-01;2026-12-31
GLS;Express 14:00;additional_kg;6;1.00;9999.00;5.89;2026-01-01;2026-12-31
GLS;Express 14:00;band;7;0.00;1.00;26.76;2026-01-01;2026-12-31
GLS;Express 14:00;additional_kg;7;1.00;9999.00;6.77;2026-01-01;2026-12-31
GLS;Express 14:00;band;8;0.00;1.00;6.13;2026-01-01;2026-12-31
GLS;Express 14:00;band;8;1.01;3.00;6.45;2026-01-01;2026-12-31
GLS;Express 14:00;band;8;5.01;10.00;7.64;2026-01-01;2026-12-31
GLS;Express 14:00;band;8;10.01;15.00;9.92;2026-01-01;2026-12-31
GLS;Express 14:00;additional_kg;8;15.00;9999.00;0.58;2026-01-01;2026-12-31
GLS;Express 19:00;band;1;0.00;1.00;4.04;2026-01-01;2026-12-31
GLS;Express 19:00;band;1;1.01;3.00;4.25;2026-01-01;2026-12-31
GLS;Express 19:00;band;1;3.01;5.00;4.41;2026-01-01;2026-12-31
GLS;Express 19:00;band;1;5.01;10.00;4.84;2026-01-01;2026-12-31
GLS;Express 19:00;band;1;10.01;15.00;5.29;2026-01-01;2026-12-31
GLS;Express 19:00;additional_kg;1;15.00;9999.00;0.21;2026-01-01;2026-12-31
GLS;Express 19:00;band;2;0.00;1.00;4.04;2026-01-01;2026-12-31
GLS;Express 19:00;band;2;1.01;3.00;4.25;2026-01-01;2026-12-31
GLS;Express 19:00;band;2;3.01;5.00;4.41;2026-01-01;2026-12-31
GLS;Express 19:00;band;2;5.01;10.00;4.84;2026-01-01;2026-12-31
